               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,           0.0097997,           0.0085574,                   0,             0.99996,                   1,               0.995,              0.8859,            0.011349,           0.0094368,                   0,            0.004159,            0.004159,            0.004159
                  61,           0.0097751,           0.0084941,                   0,             0.99997,                   1,               0.995,             0.88559,            0.011342,            0.009446,                   0,             0.00406,             0.00406,             0.00406
                  62,           0.0098237,           0.0085474,                   0,             0.99996,                   1,               0.995,             0.88719,            0.011461,           0.0095821,                   0,            0.003961,            0.003961,            0.003961
                  63,           0.0096928,           0.0084352,                   0,             0.99997,                   1,               0.995,             0.88447,            0.011427,           0.0095867,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0095781,           0.0085029,                   0,             0.99997,                   1,               0.995,             0.88525,            0.011534,           0.0094475,                   0,            0.003763,            0.003763,            0.003763
                  65,           0.0094864,           0.0083176,                   0,             0.99997,                   1,               0.995,             0.88772,            0.011383,            0.009558,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0093066,           0.0082914,                   0,             0.99997,                   1,               0.995,             0.88612,            0.011476,            0.009632,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0094303,           0.0081477,                   0,             0.99996,                   1,               0.995,             0.88449,            0.011388,           0.0095069,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0093443,           0.0082271,                   0,             0.99997,                   1,               0.995,             0.88639,            0.011389,           0.0095443,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0093012,           0.0081843,                   0,             0.99997,                   1,               0.995,             0.88615,            0.011409,           0.0095583,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0092783,           0.0081482,                   0,             0.99997,                   1,               0.995,             0.88919,            0.011397,           0.0095019,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.009231,           0.0081957,                   0,             0.99996,                   1,               0.995,             0.88967,             0.01136,           0.0094548,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0092122,           0.0081261,                   0,             0.99996,                   1,               0.995,             0.88757,            0.011432,            0.009596,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0092183,           0.0080298,                   0,             0.99997,                   1,               0.995,             0.88846,            0.011384,           0.0096041,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.009238,           0.0081404,                   0,             0.99996,                   1,               0.995,             0.88865,            0.011486,           0.0096324,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0091217,           0.0079773,                   0,             0.99996,                   1,               0.995,              0.8891,            0.011423,           0.0095866,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0090915,           0.0080512,                   0,             0.99997,                   1,               0.995,             0.88821,            0.011413,           0.0095977,                   0,            0.002575,            0.002575,            0.002575
                  77,           0.0089997,           0.0080285,                   0,             0.99997,                   1,               0.995,             0.88843,             0.01139,           0.0095882,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0090198,           0.0079973,                   0,             0.99997,                   1,               0.995,             0.88847,            0.011459,           0.0096757,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0090243,           0.0080609,                   0,             0.99997,                   1,               0.995,             0.89019,            0.011454,           0.0096425,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0088851,           0.0077971,                   0,             0.99997,                   1,               0.995,             0.89053,            0.011425,           0.0096997,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0088713,            0.007835,                   0,             0.99997,                   1,               0.995,             0.89164,            0.011429,           0.0096397,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0088833,            0.007942,                   0,             0.99997,                   1,               0.995,             0.89116,            0.011387,           0.0096303,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.008758,           0.0077827,                   0,             0.99997,                   1,               0.995,             0.89073,             0.01135,           0.0096721,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0087917,            0.007876,                   0,             0.99997,                   1,               0.995,             0.88925,            0.011382,           0.0096515,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0087355,           0.0078308,                   0,             0.99997,                   1,               0.995,             0.88888,            0.011439,            0.009687,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0087317,           0.0076524,                   0,             0.99997,                   1,               0.995,             0.89082,            0.011353,           0.0096571,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0088091,           0.0076701,                   0,             0.99997,                   1,               0.995,             0.89243,            0.011333,           0.0096844,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0086805,           0.0077651,                   0,             0.99996,                   1,               0.995,             0.89285,            0.011325,           0.0096492,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0085037,           0.0076026,                   0,             0.99997,                   1,               0.995,             0.89251,             0.01136,           0.0096675,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0085544,           0.0076993,                   0,             0.99997,                   1,               0.995,              0.8919,            0.011326,           0.0096559,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0086094,           0.0075659,                   0,             0.99997,                   1,               0.995,             0.89288,            0.011283,            0.009643,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0084667,           0.0076095,                   0,             0.99997,                   1,               0.995,              0.8928,            0.011332,           0.0096903,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0084812,           0.0076212,                   0,             0.99997,                   1,               0.995,             0.89333,            0.011323,           0.0097055,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0083554,           0.0076032,                   0,             0.99997,                   1,               0.995,             0.89357,            0.011291,           0.0097239,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0083902,           0.0075679,                   0,             0.99997,                   1,               0.995,             0.89415,            0.011299,           0.0097216,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0083436,           0.0075579,                   0,             0.99997,                   1,               0.995,             0.89468,             0.01132,           0.0097643,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.008484,           0.0075228,                   0,             0.99997,                   1,               0.995,             0.89448,            0.011343,           0.0097691,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0082323,           0.0073716,                   0,             0.99997,                   1,               0.995,             0.89426,            0.011344,             0.00975,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0083363,           0.0074112,                   0,             0.99997,                   1,               0.995,             0.89417,             0.01135,           0.0097455,                   0,            0.000298,            0.000298,            0.000298
